base name:
fluent-log-fluent_controller__fluentbit__proof__helper_invariants__proof__lemma_always_response_at_after_get_resource_step_is_resource_get_response.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit__proof__helper_invariants__proof__lemma_always_response_at_after_get_resource_step_is_resource_get_response.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit__proof__helper_invariants__proof__lemma_always_response_at_after_get_resource_step_is_resource_get_response.smt2/traces/rename.8248747774546786090

10094 unknown

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit::proof::helper_invariants::proof::lemma_always_response_at_after_get_resource_step_is_resource_get_response
controller_examples/fluent_controller/fluentbit/proof/helper_invariants/proof.rs:98

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 19215    44    44    46    44
prelude_unbox_box_bool                                                             10704    75    80    78    80
internal_core!result.Result./Ok/0_accessor_definition                               9984    16    15    14    15
internal_core__result__Result_unbox_axiom_definition                                9135     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              8147    12    12    12    12
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      6929     0     0     0     0
internal_core!result.Result./Err_constructor_definition                             6369     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__api_method__APIRe...      6216    19    15    13    15
internal_core__option__Option_unbox_axiom_definition                                6162     5     5     8     5
internal_fluent_controller__reconciler__spec__io__RequestView_box_axiom_def...      5803    12    11    11    11
internal_core__result__Result_box_axiom_definition                                  4907    87    69    56    69
internal_tuple__2./tuple__2/0_accessor_definition                                   4590    39    40    39    40
internal_tuple__2./tuple__2_constructor_definition                                  4502     0     0     0     0
internal_core!result.Result./Ok_constructor_definition                              4486     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      4113     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            4061     3     3     3     3
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...      3615     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  3614    13    12    12    12
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_bo...      3433     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                   2970    25    23    24    23
internal_crate__tuple__2_box_axiom_definition                                       2877    54    51    52    51
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      2247     0     0     0     0
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...      2185    22    23    23    23
internal_core!option.Option./Some_constructor_definition                            2184     3     3     3     3
internal_crate__tuple__2_unbox_axiom_definition                                     2172    11    10    10    10
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      2157     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      2058     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      2012     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1974     0     0     0     0
internal_tuple__2./tuple__2/1_invariant_definition                                  1920     4     5     8     5
prelude_has_type_bool                                                               1908     0     0     0     0
internal_core!option.Option./None_constructor_definition                            1752     2     2     2     2
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1578     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1542     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1539     0     0     0     0
mariposa_qid_105                                                                    1439     3     5     5     5
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_un...      1390     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             1279    13    16    17    16
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1153     0     0     0     0
prelude_strlit_injective                                                            1152     0     0     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                            1152     0     0     0     0
prelude_unbox_box_strslice                                                          1152     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1115     0     0     0     0
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...      1102    11    10    11    10
prelude_box_unbox_bool                                                              1082     1     2     2     2
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...      1075     1     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1017     0     0     0     0
internal_vstd!seq.Seq.push.?_pre_post_definition                                    1013     0     0     0     0
internal_crate__fun__1_apply_definition                                              914     1     2     2     2
internal_fluent_controller!fluent_controller.fluentbit.model.reconciler.rec...       872    10    10    10    10
internal_fluent_controller!fluent_controller.fluentbit.model.reconciler.rec...       872     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__service_account__...       805     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.role....       685     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.role....       685     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.role....       685     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__api_method__APIRe...       638     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__role_binding__Rol...       636     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.role_binding.RoleRef...       620     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...       583     0     2     0     2
internal_vstd!seq.Seq.empty.?_pre_post_definition                                    574     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__container__Contai...       573     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.service_account.Serv...       550     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       530     0     0     0     0
prelude_fuel_defaults                                                                527   106   104   101   104
internal_fluent_controller__kubernetes_api_objects__spec__role__RoleView_bo...       523     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__role_binding__Rol...       515     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...       503     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       488     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__volume__ObjectFie...       486     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__container__EnvVar...       486     0     0     0     0
prelude_mk_fun                                                                       485    61    62    63    62
internal_fluent_controller!kubernetes_api_objects.spec.api_method.APIReques...       470     1     0     0     0
prelude_unbox_box_int                                                                468     2     2     2     2
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       467     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__message__MessageConte...       460     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__daemon_set__Daemo...       444     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__service__ServiceV...       413     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.common.ObjectRef./Ob...       407     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__container__Contai...       406     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.container.ContainerP...       406     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...       401     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...       401     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...       401     0     0     0     0
internal_crate__fun__2_constructor_definition                                        397
- [root]                                                                             397     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.api_method.APIRespon...       389     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.container.ContainerP...       382     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__service__ServiceP...       382     0     0     0     0
mariposa_qid_65                                                                      379     3     2     2     2
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...       374     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...       374     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.container.ContainerP...       372     0     0     0     0
