base name:
fluent-log-fluent_controller__fluentbit__proof__liveness__resource_match.4.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit__proof__liveness__resource_match.4.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit__proof__liveness__resource_match.4.smt2/traces/shuffle.10946823814632310072

10127 unknown

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit::proof::liveness::resource_match::lemma_resource_state_matches_at_after_update_resource_step
controller_examples/fluent_controller/fluentbit/proof/liveness/resource_match.rs:713

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_bool                                                             17105   163   161   164   164
internal_core__option__Option_box_axiom_definition                                 11714   164   158   155   163
internal_core__option__Option_unbox_axiom_definition                                7289     5     3     5     5
internal_core__result__Result_box_axiom_definition                                  6116    60    60    52    56
internal_core__result__Result_unbox_axiom_definition                                4256     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            4240    11    10    13     9
internal_core!result.Result./Ok/0_accessor_definition                               4219    32    28    27    34
internal_core!option.Option./Some/0_accessor_definition                             3933    25    22    29    28
prelude_mk_fun                                                                      3827   107   109   109   110
internal_tuple__2./tuple__2/0_accessor_definition                                   3808    46    49    49    48
internal_crate__fun__2_apply_definition                                             3754     3     2     2     3
internal_core!result.Result./Ok_constructor_definition                              3377     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  3370     0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       3324    50    52    50    49
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      3223     1     1     1     1
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_bo...      3152    12    11    11    10
internal_fluent_controller!kubernetes_api_objects.spec.common.ObjectRef./Ob...      3123     0     0     0     0
prelude_has_type_bool                                                               3064     2     2     1     1
internal_core!option.Option./Some_constructor_definition                            2987     9     9     8     9
prelude_box_unbox_bool                                                              2531     9     9     9    10
internal_fluent_controller__kubernetes_api_objects__spec__common__ObjectRef...      2526     4     4     6     5
internal_crate__fun__1_box_axiom_definition                                         2406    48    48    48    48
internal_crate__tuple__2_unbox_axiom_definition                                     2392     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  2368     6     5     6     7
internal_core!result.Result./Ok/0_invariant_definition                              2361    10     9    10    12
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      2356     1     1     1     1
internal_fluent_controller__kubernetes_api_objects__spec__common__ObjectRef...      2336    12    12    13    12
internal_crate__fun__1_apply_definition                                             2301     7     7     8     7
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      2288     2     0     2     3
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      2259     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_un...      2227     0     0     0     0
internal_vstd!seq.Seq.len.?_pre_post_definition                                     2176     4     4     4     6
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...      2174    12    12    15    12
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1958     3     1     3     2
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1924     0     0     0     0
internal_crate__fun__2_constructor_definition                                       1827
- [root]                                                                            1827     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_fluent_controller__temporal_logic__defs__TempPred_unbox_axiom_defi...      1724     2     2     2     2
internal_fluent_controller!temporal_logic.defs.TempPred./TempPred_construct...      1724     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.message.Message./Message...      1691     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1690    18    18    18    16
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1650     0     0     0     0
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1650     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1608     5     5     5     4
internal_fluent_controller__kubernetes_api_objects__spec__config_map__Confi...      1581     0     0     0     0
internal_crate__fun__2_unbox_axiom_definition                                       1579     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                   1576    20    21    20    21
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1558     6     7     6     7
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1500    11    10    10     9
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1474     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         1462    33    34    33    33
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...      1440    30    26    32    28
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1404     4     3     4     3
internal_fluent_controller__temporal_logic__defs__TempPred_box_axiom_defini...      1380    44    44    44    44
prelude_unbox_box_int                                                               1380     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.config_map.ConfigMap...      1363     0     0     0     0
mariposa_qid_63                                                                     1334     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1326     3     4     3     3
internal_fluent_controller!temporal_logic.defs.impl&__1.new.?_pre_post_defi...      1305     0     0     0     0
internal_fluent_controller!temporal_logic.defs.impl&__1.new.?_definition            1305    30    30    30    30
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1291    67    71    70    69
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1289     1     1     1     1
internal_fluent_controller__state_machine__action__ActionResult_box_axiom_d...      1285    24    19    24    21
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1260     1     1     1     1
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1260     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1260     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1255     7     8     8    10
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.owner...      1250     6     6     6     5
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1250     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...      1240    20    21    20    21
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1209     0     0     0     0
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         1182    11    11    10    11
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1181     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1175    17    16    15    14
internal_fluent_controller__kubernetes_cluster__spec__message__Message_box_...      1175     5     6     3     4
internal_fluent_controller__kubernetes_cluster__spec__message__Message_unbo...      1155     2     2     2     2
internal_tuple__2./tuple__2/1_invariant_definition                                  1127     7     6     7     7
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1117     6     5     6     5
mariposa_qid_137                                                                    1088     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1084    10     8    10     9
internal_fluent_controller__kubernetes_cluster__spec__message__MessageConte...      1083     0     0     0     0
