base name:
fluent-log-fluent_controller__fluentbit__proof__liveness__spec.14.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit__proof__liveness__spec.14.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit__proof__liveness__spec.14.smt2/traces/rename.13006862476458927243

10127 unknown

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit::proof::liveness::spec::lemma_always_for_all_step_pending_req_in_flight_or_resp_in_flight_at_reconcile_state
controller_examples/fluent_controller/fluentbit/proof/liveness/spec.rs:356

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 30922    67    66    67    63
internal_core__option__Option_unbox_axiom_definition                               11814    20    20    20    19
internal_core__result__Result_unbox_axiom_definition                                8767     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               8713    26    26    26    26
internal_core!result.Result./Ok/0_invariant_definition                              8235    24    24    24    24
prelude_unbox_box_bool                                                              6969    64    60    60    59
internal_core!result.Result./Err_constructor_definition                             5871     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      5630     0     0     0     0
internal_core!option.Option./Some_constructor_definition                            5413     0     0     0     0
internal_core__result__Result_box_axiom_definition                                  5376   124   134   128   129
internal_core!option.Option./Some/0_invariant_definition                            5171     2     2     2     2
internal_vstd!seq.Seq.push.?_pre_post_definition                                    4363     0     0     0     0
internal_core!option.Option./None_constructor_definition                            4144     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      4043     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      4015     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  3763     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                   3532     7     9     9     9
internal_core!result.Result./Ok_constructor_definition                              2956     0     0     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                            2813     0     0     0     0
prelude_unbox_box_strslice                                                          2811     0     0     0     0
prelude_strlit_injective                                                            2810     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      2798     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_bo...      2571     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__api_method__APIRe...      2197     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      2112     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      2111     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      2110     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      2044     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  2028     5     7     7     7
internal_crate__tuple__2_box_axiom_definition                                       2025    30    31    30    29
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1947     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                   1940    24    26    23    23
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1922     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1922     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__volume__VolumeVie...      1856     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             1808     2     2     2     2
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1724     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.volume.VolumeView./V...      1699     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__volume__VolumeVie...      1699     0     0     0     0
internal_crate__tuple__2_unbox_axiom_definition                                     1696    20    19    13    17
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1678     0     0     0     0
internal_vstd__seq__Seq<fluent_controller!kubernetes_api_objects.spec.conta...      1559     0     0     0     0
internal_fluent_controller__fluent_controller__fluentbit__trusted__spec_typ...      1524    12    15    15    15
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...      1522     0     0     0     0
