base name:
fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2/traces/rename.3068370539320359280

8504 unsat

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit_config::proof::liveness::resource_match::lemma_resource_state_matches_at_after_create_resource_step
controller_examples/fluent_controller/fluentbit_config/proof/liveness/resource_match.rs:383

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_bool                                                             14826    88    89    98    94
internal_core__option__Option_box_axiom_definition                                  8207    83    83    91    84
internal_crate__fun__2_apply_definition                                             7414     2     2     1     2
internal_core__option__Option_unbox_axiom_definition                                6666     2     2     2     2
internal_core__result__Result_box_axiom_definition                                  5795    11    10    11    10
internal_crate__tuple__2_box_axiom_definition                                       4552    50    55    55    49
internal_tuple__2./tuple__2/0_accessor_definition                                   4544    41    43    40    40
internal_core!option.Option./Some/0_invariant_definition                            4130     6     5     6     5
internal_core__result__Result_unbox_axiom_definition                                3917     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             3911    14    15    18    15
prelude_mk_fun                                                                      3834    91    91    91    90
internal_tuple__2./tuple__2_constructor_definition                                  3516     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               3487     4     4     4     4
internal_core!result.Result./Ok_constructor_definition                              3316     0     0     0     0
internal_core!option.Option./Some_constructor_definition                            3224     9     9     9     9
prelude_has_type_bool                                                               3178     2     3     3     3
internal_crate__fun__2_constructor_definition                                       3074
- [root]                                                                            3074     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  2807     5     5     5     5
internal_crate__fun__2_unbox_axiom_definition                                       2800     0     0     0     0
prelude_box_unbox_bool                                                              2727     8     7     7     7
internal_crate__tuple__2_unbox_axiom_definition                                     2630     0     0     0     0
internal_crate__fun__1_apply_definition                                             2527     6     5     5     5
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_bo...      2483     6     6     6     6
internal_crate__fun__2_box_axiom_definition                                         2481    33    34    34    33
internal_tuple__2./tuple__2/1_accessor_definition                                   2216    17    20    19    17
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      2122     2     2     2     2
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_un...      2100     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              2029     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1938     4     4     4     4
mariposa_qid_182                                                                    1935
- [root]                                                                              40     1     1     1     1
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__every_i...    1375     1     1     1     1
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__every_i...     520     1     2     1     2
internal_fluent_controller__state_machine__action__ActionResult_box_axiom_d...      1849    26    23    21    24
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1838     2     2     2     2
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1823     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.common.ObjectRef./Ob...      1776     0     0     0     0
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1758     0     1     0     1
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1744     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1732     2     2     2     2
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...      1728     4     3     3     3
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         1611    11    11    11    11
prelude_unbox_box_int                                                               1606     1     1     1     1
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1604     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1567     0     0     0     0
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1553     0     0     0     0
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1553     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1548     4     4     6     5
internal_fluent_controller!state_machine.action.ActionResult./Enabled/1_inv...      1507     7     4     4     5
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1406     0     0     0     0
internal_fluent_controller!state_machine.action.Action./Action/precondition...      1383    17    17    15    17
internal_fluent_controller__state_machine__action__Action_box_axiom_definit...      1380    25    23    23    22
internal_fluent_controller!kubernetes_cluster.spec.message.Message./Message...      1352     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1309     5     4     5     4
internal_tuple__2./tuple__2/1_invariant_definition                                  1297     5     6     6     6
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1297     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1296     2     2     2     2
internal_fluent_controller__kubernetes_api_objects__spec__config_map__Confi...      1295     0     0     0     0
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...      1277     0     0     0     0
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...      1277     1     1     1     1
internal_fluent_controller!state_machine.action.Action./Action/transition_a...      1231    16    17    17    16
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1188    26    24    26    25
