base name:
fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.6.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.6.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.6.smt2/traces/reseed.7061097732213380854

10102 unknown

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit_config::proof::liveness::resource_match::lemma_resource_state_matches_at_after_update_resource_step
controller_examples/fluent_controller/fluentbit_config/proof/liveness/resource_match.rs:521

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_bool                                                             13701    95   100   103    92
internal_core__option__Option_box_axiom_definition                                 10747   107   102   100   100
internal_core__result__Result_box_axiom_definition                                  6769    21    15    17    19
internal_core__option__Option_unbox_axiom_definition                                5684     2     3     2     3
internal_core!result.Result./Ok/0_accessor_definition                               4973     8     7     9     9
internal_core__result__Result_unbox_axiom_definition                                4306     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                   3692    45    49    40    47
internal_core!result.Result./Ok_constructor_definition                              3421     0     0     0     0
internal_crate__fun__2_apply_definition                                             3379     2     2     2     2
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_bo...      3317    10    10    10    10
internal_core!option.Option./Some/0_invariant_definition                            3068     6     5     6     5
internal_core!result.Result./Ok/0_invariant_definition                              3044     4     3     2     3
internal_crate__tuple__2_box_axiom_definition                                       3001    54    54    46    49
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      2525     1     1     1     1
internal_core!option.Option./Some/0_accessor_definition                             2476    16    15    13    12
prelude_mk_fun                                                                      2460    99   101   100   100
internal_core!option.Option./Some_constructor_definition                            2402     7     7     7     6
internal_tuple__2./tuple__2_constructor_definition                                  2323     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      2230     0     1     0     1
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      2148     1     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__marshal__Value_un...      2119     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      2106     1     2     1     2
internal_tuple__2./tuple__2/0_invariant_definition                                  1943     6     6     5     6
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1923    12     8     8    11
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1905     0     0     0     0
prelude_has_type_bool                                                               1899     1     2     1     2
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1865     2     1     1     1
internal_crate__tuple__2_unbox_axiom_definition                                     1850     0     0     0     0
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1734     0     0     0     0
internal_vstd__multiset__Multiset<fluent_controller!kubernetes_cluster.spec...      1734     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1709     1     1     1     1
prelude_box_unbox_bool                                                              1693     6     7     7     7
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1682     0     0     0     0
internal_crate__fun__1_apply_definition                                             1599     5     6     6     6
internal_crate__fun__2_constructor_definition                                       1585
- [root]                                                                            1585     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
prelude_unbox_box_int                                                               1563     1     1     1     1
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1530     3     2     3     2
internal_fluent_controller__kubernetes_api_objects__spec__config_map__Confi...      1462     0     0     0     0
internal_crate__fun__2_unbox_axiom_definition                                       1432     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1419    38    40    39    41
internal_fluent_controller!kubernetes_api_objects.spec.common.ObjectRef./Ob...      1386     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         1347    34    34    33    34
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...      1341     9     6     8     8
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1302     5     5     5     5
mariposa_qid_60                                                                     1266     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__message__MessageConte...      1264     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1264     7     8     8     8
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...      1261     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__object_meta__Obje...      1257     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                   1232    21    21    20    20
internal_fluent_controller!kubernetes_api_objects.spec.config_map.ConfigMap...      1223     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...      1217    20    19    19    20
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.DynamicObjec...      1147    14    13    12    13
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...      1120     2     2     2     2
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         1092    11    12    11    13
internal_fluent_controller!state_machine.action.ActionResult./Enabled/1_inv...      1091     6     5     5     5
internal_fluent_controller!kubernetes_api_objects.spec.secret.SecretView./S...      1068     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...      1034    11    10    10    11
internal_crate__fun__1_box_axiom_definition                                         1031    42    42    42    42
internal_fluent_controller!kubernetes_api_objects.spec.resource.ResourceVie...       996     0     0     0     0
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...       991     1     0     0     0
internal_fluent_controller__state_machine__action__ActionResult_box_axiom_d...       980    21    26    26    22
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       979     1     1     1     1
internal_vstd__set__Set<fluent_controller!kubernetes_api_objects.spec.commo...       977     0     0     0     0
