base name:
mimalloc--commit_segment.1.smt2

query path:
dbg/mimalloc--commit_segment.1.smt2/orig.smt2

trace path:
dbg/mimalloc--commit_segment.1.smt2/traces/rename.14282743698908577552

10058 unknown

verus procedure:
Function-Def lib::commit_segment::segment_commit_mask
verus-mimalloc/commit_segment.rs:23

traced instantiations:
QID                                                                T    P0    P1    P2    P3
--------------------------------------------------------------  ----  ----  ----  ----  ----
prelude_fuel_defaults                                            261     6     7     6     6
prelude_u_clip                                                   116    13    15    13    13
prelude_add                                                      111    21    25    22    21
prelude_u_inv                                                     75     9    11     9     9
prelude_eucdiv                                                    74     7     8     7     7
prelude_div_unsigned_in_bounds                                    74     3     2     3     3
prelude_unbox_box_int                                             56     5     6     5     5
prelude_sub                                                       44    13    12    11    13
prelude_mul_nats                                                  37     1     0     1     1
prelude_mul                                                       37     4     6     5     4
prelude_unbox_box_bool                                            30     6     9     7     6
prelude_mod_unsigned_in_bounds                                    30     1     1     1     1
prelude_eucmod                                                    30     5     6     5     5
mariposa_qid_24                                                   27     8    11     9     8
user_vstd__set__axiom_set_new_89                                  24     4     7     6     4
internal_vstd__set__Set<int.>_box_axiom_definition                22     1     1     1     1
internal_vstd!set.impl&__0.new.?_pre_post_definition              21     2     3     3     2
internal_vstd__set__Set<int.>_unbox_axiom_definition              21     4     5     5     4
prelude_mk_fun                                                    21     2     3     3     2
internal_crate__fun__1_box_axiom_definition                       21     2     3     3     2
internal_vstd__set__Set<int.>_has_type_always_definition          17     1     1     1     1
internal_lib__commit_mask__CommitMask_box_axiom_definition        15     1     1     1     1
user_vstd__set__axiom_set_ext_equal_101                           14
- [root]                                                           8     1     2     2     1
- user_vstd__set__axiom_set_ext_equal_100                          6     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                 14     1     1     1     1
internal_ens__lib!commit_mask.impl&__0.create._definition         14     1     2     2     1
internal_crate__tuple__2_box_axiom_definition                     14     1     1     1     1
internal_req__lib!commit_mask.impl&__0.create._definition         14     1     2     1     1
internal_tuple__2./tuple__2/1_accessor_definition                 13     1     1     1     1
prelude_has_type_int                                              11     1     1     1     1
prelude_box_unbox_int                                             11     2     2     2     2
internal_ens__lib!layout.align_up._definition                     10     2     2     2     2
prelude_has_type_bool                                              9     2     2     2     2
prelude_ext_eq                                                     8     0     1     0     0
internal_vstd!set_lib.set_int_range.?_definition                   8     1     1     1     1
internal_req__lib!layout.align_up._definition                      7     2     2     2     2
internal_ens__lib!layout.align_down._definition                    7     2     2     2     2
internal_crate__fun__1_apply_definition                            7     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                      6     0     0     0     0
internal_crate__fun__1_constructor_definition                      6
- [root]                                                           6     2     2     2     2
- internal_crate__fun__1_constructor_inner_definition              0     0     0     0     0
prelude_box_unbox_bool                                             5     0     0     0     0
internal_vstd!layout.size_of.?_pre_post_definition                 4     0     0     0     0
internal_vstd!layout.align_of.?_pre_post_definition                4     0     0     0     0
internal_req__lib!layout.align_down._definition                    3     2     2     2     2
user_vstd__set__axiom_set_empty_88                                 2     2     2     2     2
internal_vstd!set.impl&__0.empty.?_pre_post_definition             1     1     1     1     1
internal_lib__page_organization__Popped_unbox_axiom_definition     1     0     0     0     0
internal_ens__lib!config.const_facts._definition                   1     1     1     1     1
internal_lib__page_organization__Popped_box_axiom_definition       1     0     0     0     0
internal_vstd__raw_ptr__Metadata_unbox_axiom_definition            1     0     0     0     0
internal_vstd__raw_ptr__Metadata_box_axiom_definition              1     0     0     0     0
total                                                           1361   145   173   155   145
