base name:
mimalloc--queues__page_queue_push_back.smt2

query path:
dbg/mimalloc--queues__page_queue_push_back.smt2/orig.smt2

trace path:
dbg/mimalloc--queues__page_queue_push_back.smt2/traces/shuffle.13944507908460441051

10128 unknown

verus procedure:
Function-Def lib::queues::page_queue_push_back
verus-mimalloc/queues.rs:402

traced instantiations:
QID                                                                                  T    P0    P1    P2    P3
------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                8201   129   133   134   133
prelude_unbox_box_int                                                             7033    28    28    28    29
internal_vstd__set__Set<int.>_box_axiom_definition                                6996     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                          6476    44    44    42    44
internal_core!option.Option./Some_constructor_definition                          6372     7     7     7     7
internal_core__option__Option_unbox_axiom_definition                              6222     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                           5583    69    70    68    72
internal_vstd!map.impl&__0.index.?_pre_post_definition                            5006    41    38    37    41
internal_vstd!set.impl&__0.subset_of.?_definition                                 3677
- [root]                                                                          3099     0     0     0     0
- user_vstd__set__impl&%0__subset_of_118                                           578     0     0     0     0
prelude_add                                                                       3595     5     5     5     5
internal_vstd__set__Set<int.>_unbox_axiom_definition                              3466     0     0     0     0
prelude_u_inv                                                                     3337     1     1     0     1
internal_vstd!cell.impl&__2.view.?_pre_post_definition                            3201    16    17    15    16
internal_vstd__cell__PointsToData_box_axiom_definition                            3183    95   106    97   102
internal_vstd!cell.PointsToData./PointsToData/value_accessor_definition           2978    64    76    68    67
internal_vstd!cell.PointsToData./PointsToData_constructor_definition              2833     0     0     0     0
internal_vstd__set__Set<int.>_has_type_always_definition                          2771     0     0     0     0
internal_vstd!cell.PointsToData./PointsToData/pcell_accessor_definition           2751    29    31    29    30
internal_vstd__cell__PointsToData_unbox_axiom_definition                          2585     0     0     0     0
internal_lib!types.impl&__21.wf_main.?_definition                                 2557
- [root]                                                                           134     2     2     2     2
- user_lib__types__Local__wf_main_162                                              505     6     7     8     7
- user_lib__types__Local__wf_main_163                                              505     2     2     2     2
- user_lib__types__Local__wf_main_161                                              505     7     8     9     9
- user_lib__types__Local__wf_main_164                                              454     1     1     1     1
- user_lib__types__Local__wf_main_165                                              454     1     1     1     1
internal_vstd!cell.PointsToData./PointsToData/value_invariant_definition          2475    16    17    15    16
internal_lib!types.impl&__21.page_organization_valid.?_definition                 2301
- [root]                                                                            64     2     2     2     2
- user_lib__types__Local__page_organization_valid_157                              510     9     9     8    11
- user_lib__types__Local__page_organization_valid_156                              510     9     9    10    11
- user_lib__types__Local__page_organization_valid_160                              427     7     7     8     8
- user_lib__types__Local__page_organization_valid_159                              395     3     3     3     3
- user_lib__types__Local__page_organization_valid_158                              395     3     4     4     3
user_vstd__set__axiom_set_insert_different_91                                     1903    43    47    49    43
internal_lib__commit_mask__CommitMask_box_axiom_definition                        1843     0     0     0     0
internal_lib!page_organization.PageData./PageData_constructor_definition          1826     4     4     4     4
user_vstd__map__axiom_map_insert_different_79                                     1785    71    74    76    73
internal_vstd!map.impl&__0.dom.?_pre_post_definition                              1743    18    19    18    18
internal_lib__tokens__PageId_unbox_axiom_definition                               1546    25    26    26    25
internal_vstd!seq.Seq.index.?_pre_post_definition                                 1445    18    18    18    18
internal_lib!tokens.PageId./PageId/segment_id_invariant_definition                1437     0     0     0     0
internal_lib__tokens__SegmentId_unbox_axiom_definition                            1359     0     0     0     0
internal_vstd!set.impl&__0.union.?_pre_post_definition                            1328     0     0     0     0
internal_vstd!seq.Seq.len.?_pre_post_definition                                   1319     4     4     4     4
internal_lib!tokens.PageId./PageId/idx_invariant_definition                       1287     9     8     8     9
internal_crate__fun__1_box_axiom_definition                                       1244     0     0     0     0
prelude_mk_fun                                                                    1244     0     0     0     0
internal_vstd!set.impl&__0.new.?_pre_post_definition                              1242     0     0     0     0
prelude_unbox_box_bool                                                            1227     6     6     6     6
internal_vstd__ptr__PPtr<lib!types.Page.>_box_axiom_definition                    1211     4     4     3     4
prelude_mul                                                                       1208     6     6     6     6
prelude_mul_nats                                                                  1208     3     3     3     3
internal_lib!page_organization.PageData./PageData/dlist_entry_accessor_defi...    1201     5     5     5     4
internal_lib__atomic_ghost_modified__Duplicable_box_axiom_definition              1192     4     4     4     4
internal_lib!page_organization.PageData./PageData/dlist_entry_invariant_def...    1176     2     2     2     2
internal_lib!atomic_ghost_modified.impl&__0.view.?_definition                     1148     3     3     4     3
internal_lib!atomic_ghost_modified.Duplicable./Duplicable/inst_accessor_def...    1147     3     3     3     3
internal_lib!atomic_ghost_modified.impl&__0.view.?_pre_post_definition            1147     0     0     0     0
internal_lib!atomic_ghost_modified.Dupe.impl&__4.val.?_pre_post_definition        1147     0     0     0     0
internal_vstd__cell__PointsTo<vstd!ptr.PPtr<lib!types.Page.>.>_box_axiom_de...    1143     8     8     8     8
prelude_box_unbox_int                                                             1115     6     6     6     7
internal_tuple__3./tuple__3/2_accessor_definition                                 1110     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__b_box_axiom_definition          1110     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__b_token_data_box_axiom_de...    1110     0     0     0     0
internal_lib!atomic_ghost_modified.Cancellable.b_token_data./b_token_data/i...    1110     0     0     0     0
internal_tuple__3./tuple__3/1_accessor_definition                                 1110     0     0     0     0
internal_lib!atomic_ghost_modified.Cancellable.b_token_data./b_token_data/v...    1110     0     0     0     0
internal_tuple__3./tuple__3/0_accessor_definition                                 1110     2     2     2     2
internal_vstd!invariant.impl&__0.constant.?_pre_post_definition                   1110     0     0     0     0
prelude_has_type_int                                                              1084    10    10    10    11
internal_lib!page_organization.PageOrg.impl&__4.ll_inv_valid_used2.?_defini...    1047
- [root]                                                                            22     2     2     2     2
- user_lib__page_organization__PageOrg__State__ll_inv_valid_used2_144              796     6     6     6     6
- user_lib__page_organization__PageOrg__State__ll_inv_valid_used2_145              229     4     4     4     4
user_vstd__set__axiom_set_remove_different_94                                      992     9     9    10     9
internal_lib!atomic_ghost_modified.Duplicable./Duplicable/inst_invariant_de...     957     0     0     0     0
internal_lib!atomic_ghost_modified.Duplicable./Duplicable_constructor_defin...     956     0     0     0     0
internal_lib__atomic_ghost_modified__Duplicable_unbox_axiom_definition             956     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                 947     0     0     0     0
internal_lib!layout.is_page_ptr_opt.?_definition                                   943     9     9     9     9
internal_tuple__2./tuple__2/1_invariant_definition                                 942     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                 942     0     0     0     1
internal_lib!types.impl&__21.commit_mask.?_definition                              933     4     4     4     4
internal_lib!types.impl&__21.decommit_mask.?_definition                            932     4     4     4     4
prelude_has_type_nat                                                               929     0     0     0     0
internal_tuple__3./tuple__3/2_invariant_definition                                 919     0     0     0     0
internal_crate__tuple__3_unbox_axiom_definition                                    919     0     0     0     0
internal_tuple__3./tuple__3/1_invariant_definition                                 919     0     0     0     0
internal_crate__tuple__3_box_axiom_definition                                      919     0     0     0     0
internal_lib__tokens__Mim__Instance_unbox_axiom_definition                         919     1     1     1     1
internal_tuple__3./tuple__3_constructor_definition                                 919     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__Instance_unbox_axiom_defi...     919     0     0     0     0
internal_tuple__3./tuple__3/0_invariant_definition                                 919     0     0     0     0
internal_lib!os_mem_util.mem_chunk_good1.?_definition                              918     0     0     0     0
internal_lib!os_mem_util.impl&__1.mem_chunk_good.?_definition                      918     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__Instance_box_axiom_defini...     917     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__Instance_has_type_always_...     917     0     0     0     0
internal_lib!types.Local./Local_constructor_definition                             914     0     0     0     0
internal_vstd!ptr.impl&__2.view.?_pre_post_definition                              909     7     7     7     7
internal_vstd__ptr__PointsToData_box_axiom_definition                              909    18    18    18    19
internal_lib!tokens.SegmentId./SegmentId_constructor_definition                    909     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.attached_ranges.?_definitio...     906
- [root]                                                                            22     0     0     0     0
- user_lib__page_organization__PageOrg__State__attached_ranges_146                 884     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.count_is_right.?_definition        906
- [root]                                                                            22     0     0     0     0
- user_lib__page_organization__PageOrg__State__count_is_right_130                  884     0     0     0     0
internal_lib!layout.is_page_ptr.?_definition                                       903     6     6     6     6
internal_vstd__cell__PCell<vstd!ptr.PPtr<lib!types.Page.>.>_box_axiom_defin...     886     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.end_is_unused.?_definition         852
- [root]                                                                            22     0     0     0     0
- user_lib__page_organization__PageOrg__State__end_is_unused_129                   830     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.public_invariant.?_definiti...     852
- [root]                                                                            22     2     2     2     2
- user_lib__page_organization__PageOrg__State__public_invariant_126                830     8     8     8     8
internal_lib!page_organization.PageOrg.impl&__4.page_id_domain.?_definition        852
- [root]                                                                            22     2     2     2     2
- user_lib__page_organization__PageOrg__State__page_id_domain_127                  830    12    12    12    13
internal_lib!page_organization.PageOrg.impl&__4.data_for_used_header.?_defi...     852
- [root]                                                                            22     1     1     1     1
- user_lib__page_organization__PageOrg__State__data_for_used_header_133            830     4     4     4     4
internal_lib!page_organization.PageOrg.impl&__4.data_for_unused_header.?_de...     852
- [root]                                                                            22     0     0     0     0
- user_lib__page_organization__PageOrg__State__data_for_unused_header_138          830     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.count_off0.?_definition            852
- [root]                                                                            22     1     1     1     1
- user_lib__page_organization__PageOrg__State__count_off0_128                      830     2     2     2     2
internal_vstd!ptr.PointsToData./PointsToData/value_accessor_definition             849    12    12    12    12
internal_vstd!ptr.PointsToData./PointsToData/pptr_accessor_definition              846     2     2     2     2
prelude_sub                                                                        844     4     4     4     5
internal_lib!page_organization.PageOrg.impl&__4.ucount.?_pre_post_definitio...     830     0     0     0     0
internal_vstd!set_lib.set_int_range.?_definition                                   828     0     0     0     0
internal_lib!page_organization.PageData./PageData/full_accessor_definition         824    11    10    10    10
internal_tuple__2./tuple__2/1_accessor_definition                                  821     5     5     5     5
internal_lib!page_organization.is_used_header.?_definition                         808     3     3     3     3
internal_tuple__2./tuple__2/0_accessor_definition                                  802     1     1     1     2
internal_lib!page_organization.PageData./PageData/full_invariant_definition        793     4     3     3     3
