base name:
mimalloc--segment__segment_span_free_coalesce_before.smt2

query path:
dbg/mimalloc--segment__segment_span_free_coalesce_before.smt2/orig.smt2

trace path:
dbg/mimalloc--segment__segment_span_free_coalesce_before.smt2/traces/rename.1772822839713140177

10136 unknown

verus procedure:
Function-Def lib::segment::segment_span_free_coalesce_before
verus-mimalloc/segment.rs:2140

traced instantiations:
QID                                                                                  T    P0    P1    P2    P3
------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_int                                                            11614    25    25    25    25
prelude_u_clip                                                                   10285     2     2     2     2
internal_core__option__Option_box_axiom_definition                                7359   142   147   153   142
internal_vstd__set__Set<int.>_box_axiom_definition                                7170     0     0     0     0
internal_core__option__Option_unbox_axiom_definition                              5448     0     0     0     0
internal_core!option.Option./Some_constructor_definition                          5435     2     2     2     2
internal_vstd!map.impl&__0.index.?_pre_post_definition                            5433    34    35    37    34
internal_core!option.Option./Some/0_invariant_definition                          4556    37    38    43    36
internal_core!option.Option./Some/0_accessor_definition                           4458    48    54    57    45
prelude_sub                                                                       4351     6     6     6     6
internal_vstd__set__Set<int.>_unbox_axiom_definition                              4211     0     0     0     0
internal_vstd!set.impl&__0.subset_of.?_definition                                 3757
- [root]                                                                          3082     0     0     0     0
- user_vstd__set__impl&%0__subset_of_118                                           675     0     0     0     0
internal_vstd!cell.impl&__2.view.?_pre_post_definition                            3688    13    12    15    13
internal_vstd__cell__PointsToData_box_axiom_definition                            3593    72    75    86    75
prelude_add                                                                       3564     5     5     5     5
internal_vstd!cell.PointsToData./PointsToData/value_accessor_definition           3475    50    61    67    54
internal_vstd!cell.PointsToData./PointsToData/pcell_accessor_definition           3417    22    21    24    22
internal_vstd__set__Set<int.>_has_type_always_definition                          3319     0     0     0     0
internal_vstd!cell.PointsToData./PointsToData_constructor_definition              3076     0     0     0     0
internal_lib!types.impl&__21.wf_main.?_definition                                 3052
- [root]                                                                            67     2     2     2     2
- user_lib__types__Local__wf_main_174                                              613     5     5     5     5
- user_lib__types__Local__wf_main_175                                              573     1     1     1     1
- user_lib__types__Local__wf_main_172                                              613     7    10     9     7
- user_lib__types__Local__wf_main_173                                              613     3     5     5     3
- user_lib__types__Local__wf_main_176                                              573     1     1     1     1
internal_vstd__cell__PointsToData_unbox_axiom_definition                          2988     0     0     0     0
internal_vstd!cell.PointsToData./PointsToData/value_invariant_definition          2914    13    12    15    13
internal_lib!types.impl&__21.page_organization_valid.?_definition                 2910
- [root]                                                                            36     2     2     2     2
- user_lib__types__Local__page_organization_valid_170                              556     7     7     7     7
- user_lib__types__Local__page_organization_valid_171                              536     4     4     4     4
- user_lib__types__Local__page_organization_valid_169                              556     3     3     3     3
- user_lib__types__Local__page_organization_valid_168                              613     4     6     6     4
- user_lib__types__Local__page_organization_valid_167                              613     9    12    10     9
user_vstd__std_specs__bits__axiom_u64_leading_zeros_44                            2721
- [root]                                                                           667     0     0     0     0
- user_vstd__std_specs__bits__axiom_u64_leading_zeros_43                          2054     0     0     0     0
user_vstd__set__axiom_set_ext_equal_101                                           2389
- [root]                                                                           507     5     5     5     5
- user_vstd__set__axiom_set_ext_equal_100                                         1882     1     1     1     1
internal_lib__commit_mask__CommitMask_box_axiom_definition                        1658     0     0     0     0
user_vstd__map__axiom_map_insert_different_79                                     1658    82    83    73    81
internal_vstd__cell__PointsTo<vstd!ptr.PPtr<lib!types.Page.>.>_box_axiom_de...    1537     4     4     4     4
user_vstd__set__axiom_set_insert_different_91                                     1531    61    66    59    63
prelude_mk_fun                                                                    1455     0     0     0     0
internal_crate__fun__1_box_axiom_definition                                       1455     0     0     0     0
internal_vstd!set.impl&__0.new.?_pre_post_definition                              1453     0     0     0     0
prelude_u_inv                                                                     1430     3     3     4     3
internal_vstd!map.impl&__0.dom.?_pre_post_definition                              1426    14    15    14    14
internal_lib!page_organization.PageData./PageData/dlist_entry_invariant_def...    1414    12    15    14    11
internal_lib!page_organization.PageData./PageData/dlist_entry_accessor_defi...    1357    18    17    20    17
internal_vstd!set.impl&__0.union.?_pre_post_definition                            1293     0     0     0     0
internal_lib__tokens__SegmentId_unbox_axiom_definition                            1285     0     0     0     0
internal_lib__tokens__PageId_unbox_axiom_definition                               1246    15    15    14    15
internal_vstd__cell__PCell<vstd!ptr.PPtr<lib!types.Page.>.>_box_axiom_defin...    1235     0     0     0     0
internal_lib!page_organization.PageData./PageData/full_invariant_definition       1232     6     6     6     6
internal_lib!page_organization.PageOrg.impl&__4.attached_ranges.?_definitio...    1187
- [root]                                                                            35     0     0     0     0
- user_lib__page_organization__PageOrg__State__attached_ranges_157                1152     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.count_is_right.?_definition       1187
- [root]                                                                            35     0     0     0     0
- user_lib__page_organization__PageOrg__State__count_is_right_141                 1152     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                1183     0     0     0     0
internal_lib!page_organization.PageData./PageData/full_accessor_definition        1171    13    11    12    13
internal_vstd!ptr.PointsToData./PointsToData/pptr_accessor_definition             1166     1     1     1     1
internal_lib!page_organization.PageData./PageData_constructor_definition          1165     6     6     4     6
internal_lib!layout.is_page_ptr.?_definition                                      1154     9     9     7     9
internal_lib!page_organization.is_unused_header.?_definition                      1146     5     6     4     5
internal_lib!linked_list.impl&__2.len.?_pre_post_definition                       1128     0     0     0     0
internal_lib__linked_list__LL_box_axiom_definition                                1128     0     0     0     0
internal_lib!atomic_ghost_modified.impl&__0.view.?_pre_post_definition            1106     0     0     0     0
internal_lib!atomic_ghost_modified.Duplicable./Duplicable/inst_accessor_def...    1106     0     0     0     0
internal_lib!atomic_ghost_modified.Dupe.impl&__4.val.?_pre_post_definition        1106     0     0     0     0
internal_lib!atomic_ghost_modified.impl&__0.view.?_definition                     1106     0     0     0     0
internal_lib__atomic_ghost_modified__Duplicable_box_axiom_definition              1106     0     0     0     0
internal_lib!atomic_ghost_modified.Cancellable.b_token_data./b_token_data/i...    1105     0     0     0     0
internal_vstd!invariant.impl&__0.constant.?_pre_post_definition                   1105     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__b_token_data_box_axiom_de...    1105     0     0     0     0
internal_tuple__3./tuple__3/1_accessor_definition                                 1105     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__b_box_axiom_definition          1105     0     0     0     0
internal_tuple__3./tuple__3/0_accessor_definition                                 1105     2     2     2     2
internal_lib!atomic_ghost_modified.Cancellable.b_token_data./b_token_data/v...    1105     0     0     0     0
internal_tuple__3./tuple__3/2_accessor_definition                                 1105     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                 1079     1     1     1     1
prelude_box_unbox_int                                                             1079     5     5     5     5
prelude_has_type_int                                                              1064     1     1     1     1
internal_tuple__2./tuple__2/1_invariant_definition                                1052     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                 1045     2     2     2     2
internal_tuple__2./tuple__2/0_invariant_definition                                1021     1     1     1     1
internal_lib!page_organization.PageOrg.impl&__4.ucount.?_pre_post_definitio...    1016     0     0     0     0
internal_vstd!ptr.impl&__2.view.?_pre_post_definition                             1009     6     6     7     6
