base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2/traces/reseed.13968666206025494122

10127 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:870

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 23121   417   391   391   391
internal_core__option__Option_unbox_axiom_definition                                6357     4     4     4     4
prelude_unbox_box_bool                                                              4749    86    86    86    86
internal_core__result__Result_unbox_axiom_definition                                4255     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            4234     6     7     7     7
internal_vstd!string.impl&__0.view.?_pre_post_definition                            4097     0    26    26    26
prelude_unbox_box_strslice                                                          4010     0    26    26    26
prelude_strlit_injective                                                            4007     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              3861     0     3     3     3
internal_core__result__Result_box_axiom_definition                                  3653    98    90    90    90
internal_core!option.Option./Some_constructor_definition                            3282     6    15    15    15
internal_vstd!seq.Seq.push.?_pre_post_definition                                    2663     2    22    22    22
internal_core!result.Result./Err_constructor_definition                             2465     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  2116     5     4     4     4
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      2056    79    67    67    67
internal_core!result.Result./Ok/0_accessor_definition                               1989    19    18    18    18
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...      1903    21    12    12    12
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1792     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1765     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  1747     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1691     0     0     0     0
internal_core!option.Option./None_constructor_definition                            1629     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      1566     0     0     0     0
