base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_object_in_response_at_after_update_resource_step_is_same_as_etcd.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_object_in_response_at_after_update_resource_step_is_same_as_etcd.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_object_in_response_at_after_update_resource_step_is_same_as_etcd.smt2/traces/shuffle.18204881543486257910

10122 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::lemma_eventually_always_object_in_response_at_after_update_resource_step_is_same_as_etcd
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:393

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 38615    30    30    30    30
internal_core!result.Result./Ok/0_invariant_definition                             14837    24    24    24    24
internal_core__result__Result_unbox_axiom_definition                               12964     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                              12278    25    25    25    25
internal_core__option__Option_unbox_axiom_definition                               10012     3     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      8759     0     0     0     0
prelude_unbox_box_bool                                                              8747   110   110   110   110
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...      6369     4     4     4     4
internal_tuple__2./tuple__2/0_accessor_definition                                   6232    58    58    58    58
internal_core__result__Result_box_axiom_definition                                  5856   119   119   119   119
internal_core!result.Result./Err_constructor_definition                             5829     0     0     0     0
internal_rabbitmq_controller__reconciler__spec__io__RequestView_box_axiom_d...      5819     2     2     2     2
internal_vstd!string.impl&__0.view.?_pre_post_definition                            5068     0     0     0     0
internal_core!option.Option./Some_constructor_definition                            5046     3     3     3     3
internal_core!option.Option./Some/0_invariant_definition                            4986     5     5     5     5
prelude_unbox_box_strslice                                                          4892     0     0     0     0
prelude_strlit_injective                                                            4890     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  4779     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  4391    23    23    23    23
internal_core!result.Result./Ok_constructor_definition                              4284     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      4070     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      3761     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      3291     0     0     0     0
internal_crate__tuple__2_unbox_axiom_definition                                     3147    19    19    19    19
internal_crate__tuple__2_box_axiom_definition                                       3119    80    80    80    80
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      3066     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      3064     0     0     0     0
internal_vstd!seq.Seq.push.?_pre_post_definition                                    2944     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      2879     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                   2643    21    21    21    21
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...      2574     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      2522     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      2350     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      2296     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      2223     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      2203     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...      2156    37    37    37    37
internal_tuple__2./tuple__2/1_invariant_definition                                  2072     3     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      2005     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...      1985     0     0     0     0
internal_core!option.Option./None_constructor_definition                            1939     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...      1892     2     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1892     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1889     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             1866     8     8     8     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1858     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      1837     0     0     0     0
prelude_mk_fun                                                                      1805    93    93    93    93
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1552     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1552     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...      1539     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      1539     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1525     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1524     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      1405     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...      1352    21    21    21    21
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...      1345     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      1345     0     0     0     0
internal_vstd!seq.Seq.add.?_pre_post_definition                                     1228     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__stateful_set__S...      1192     0     0     0     0
internal_vstd!map.impl&__0.insert.?_pre_post_definition                             1184     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      1156     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1147     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1113     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         1064    21    21    21    21
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1028     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1007     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...      1002     0     0     0     0
prelude_unbox_box_int                                                                993     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...       979     4     4     4     4
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...       946     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       945     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       945     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       927     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       914     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       907     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       883     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       861     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       851     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       838     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       835     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       835     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       804     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       804     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       773     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       764     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role__RoleView_...       753     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Prob...       742     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...       737     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       736     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       736     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       734     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       724     0     0     0     0
mariposa_qid_72                                                                      718     3     3     3     3
prelude_has_type_bool                                                                697     0     0     0     0
internal_crate__fun__1_box_axiom_definition                                          693    53    53    53    53
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       688     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       686     0     0     0     0
prelude_fuel_defaults                                                                681   116   116   116   116
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       676     0     0     0     0
