base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_resource_update_request_msg_implies_key_in_reconcile_equals.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_resource_update_request_msg_implies_key_in_reconcile_equals.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_resource_update_request_msg_implies_key_in_reconcile_equals.smt2/traces/shuffle.11327091165909629321

10135 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::lemma_resource_update_request_msg_implies_key_in_reconcile_equals
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:1212

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_rabbitmq_controller__rabbitmq_controller__proof__helper_invariants...    156148   179   173   181   181
internal_core__option__Option_box_axiom_definition                                 14911    98    96    99    99
internal_core!result.Result./Ok/0_invariant_definition                              8348    34    33     2     2
internal_core__result__Result_unbox_axiom_definition                                7902     0     0     0     0
internal_core__option__Option_unbox_axiom_definition                                6793     4     6     4     4
internal_core!result.Result./Ok/0_accessor_definition                               5448    35    35    37    37
prelude_unbox_box_bool                                                              5329    96    93    93    93
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...      5206    38    38    38    38
internal_core__result__Result_box_axiom_definition                                  4821   112   110   114   114
internal_rabbitmq_controller__reconciler__spec__io__RequestView_box_axiom_d...      4343    40    40    40    40
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      4217     0     0     0     0
internal_core!result.Result./Err_constructor_definition                             3905     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  3696     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  3566    23    24     4     4
internal_tuple__2./tuple__2/0_accessor_definition                                   3277    50    54    51    51
internal_core!option.Option./Some_constructor_definition                            3125     6     5     6     6
internal_core!option.Option./Some/0_invariant_definition                            2831    10     9    10    10
internal_crate__tuple__2_box_axiom_definition                                       2721    78    80    79    79
internal_crate__tuple__2_unbox_axiom_definition                                     2650    20    22     2     2
internal_vstd!string.impl&__0.view.?_pre_post_definition                            2435     6     6     6     6
internal_core!result.Result./Ok_constructor_definition                              2238     0     0     0     0
prelude_unbox_box_strslice                                                          2182     6     6     6     6
prelude_strlit_injective                                                            2180     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      2068     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...      2068     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      2026     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...      2023     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      1919     4     4     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1904     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      1889     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1889     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...      1839     0     0     0     0
internal_vstd!seq.Seq.add.?_pre_post_definition                                     1754     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1752     4     4     4     4
internal_tuple__2./tuple__2/1_accessor_definition                                   1709    43    42    43    43
internal_core!option.Option./Some/0_accessor_definition                             1666    26    26    25    25
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...      1537    32    34    35    35
internal_tuple__2./tuple__2/1_invariant_definition                                  1419     8    10     8     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1416     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageCon...      1314     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...      1310     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      1306     0     0     0     0
internal_crate__fun__2_apply_definition                                             1288     7     4     7     7
internal_crate__fun__1_apply_definition                                             1188     3     4     3     3
internal_vstd!map.impl&__0.insert.?_pre_post_definition                             1139     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...      1126     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1099     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1092     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1089     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1072     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1039     0     0     0     0
internal_crate__fun__1_box_axiom_definition                                         1033     5     5     5     5
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...       976     0     0     0     0
internal_crate__fun__2_constructor_definition                                        965
- [root]                                                                             965     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       929    19    20     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       900     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       900     0     0     0     0
prelude_box_unbox_bool                                                               866     4     3     4     4
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...       818    25    21    26    26
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/1_i...       816     5     6     5     5
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...       809    11    10     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       808     1     1     1     1
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...       802     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...       771     0     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...       767     0     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...       767     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...       761     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...       761    10    10    10    10
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...       758     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...       731     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       686     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.common.ObjectRef./...       682     0     0     0     0
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                          664    14    12    14    14
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...       658     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...       653     0     0     0     0
prelude_mk_fun                                                                       645    70    70    69    69
internal_crate__fun__2_unbox_axiom_definition                                        641     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                          638    39    39    39    39
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       631     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...       616     0     0     0     0
internal_rabbitmq_controller!state_machine.action.ActionResult./Disabled_co...       586     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_un...       585     7     9     7     7
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       578     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       576     4     4     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       572     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       565     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       563     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action_constructo...       562     0     0     0     0
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/0_i...       562     1     1     1     1
prelude_unbox_box_int                                                                550    19    19    20    20
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       531     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                                        529     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       514     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_19                           513    12    15    12    12
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...       497     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_bo...       473    16    17    16    16
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       464     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__stateful_set__S...       425     2     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       421     0     0     0     0
internal_core!option.Option./None_constructor_definition                             419     2     1     2     2
prelude_has_type_bool                                                                418     0     0     0     0
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                      414     5     5     5     5
user_vstd__multiset__axiom_multiset_singleton_18                                     414     0     0     0     0
internal_rabbitmq_controller__state_machine__action__Action_box_axiom_defin...       393    33    35    33    33
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       369     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageCon...       349    21    21    21    21
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       348     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       342     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       340     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...       336     0     0     0     0
internal_rabbitmq_controller__state_machine__action__ActionResult_box_axiom...       333    18    17    18    18
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...       324     0     0     0     0
mariposa_qid_69                                                                      321     3     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       321     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       316     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.types.ApiSe...       315     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       314     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       313     3     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       309     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.ConfigM...       308     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       308     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...       305     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       295     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       295     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       295     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       295     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__secret__SecretV...       291     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIRequ...       289     1     1     1     1
internal_rabbitmq_controller!state_machine.action.Action./Action/preconditi...       285    16    17    16    16
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....       284     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       283     1     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.get_r...       282     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       282     1     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.get_r...       282     0     0     0     0
internal_rabbitmq_controller__state_machine__action__ActionResult_unbox_axi...       276     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.ClientAct...       275     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...       273     0     0     0     0
internal_rabbitmq_controller__state_machine__action__Action_unbox_axiom_def...       270     0     0     0     0
internal_rabbitmq_controller!vstd_ext.string_view.int_to_string_view.?_pre_...       270     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       270     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__secret__SecretV...       268     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/preconditi...       263     3     2     3     3
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...       261     3     3     3     3
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...       261     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       259     1     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       258     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       258     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Del...       248     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...       248     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleR...       248     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/transition...       240     2     1     2     2
mariposa_qid_122                                                                     238     1     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       237     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role__RoleView_...       235     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role__RoleView_...       233     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service_account.Se...       229     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       225     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/transition...       223    17    17    17    17
internal_rabbitmq_controller__kubernetes_api_objects__spec__service_account...       222     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       221    38    38    40    40
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       220     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service_account.Se...       218     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service_account...       217     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       215     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       214     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       214     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       214     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       214     2     1     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       212     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       209     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service_account.Se...       206     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role.RoleView./Rol...       204     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       203     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       198     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       194     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       192     1     1     1     1
mariposa_qid_73                                                                      191     4     4     4     4
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled_con...       190     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       189     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       185     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Step...       185     1     0     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       180     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__stateful_set__S...       175     0     0     0     0
prelude_add                                                                          173    18    20    18    18
internal_rabbitmq_controller__kubernetes_cluster__spec__external_api__types...       170     2     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       167     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__api_server__types__...       161     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.types.ApiSe...       161     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__RestIdAllo...       159     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__api_server__types__...       158     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.State...       158     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       158     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       157     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       154     0     0     0     0
mariposa_qid_72                                                                      153     2     2     2     2
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...       152     1     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.types.Ext...       151     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...       150    21    21    21    21
internal_rabbitmq_controller__kubernetes_cluster__spec__external_api__types...       150     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...       150     1     1     1     1
