base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__object_in_response_at_after_create_resource_step_is_same_as_etcd_helper.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__object_in_response_at_after_create_resource_step_is_same_as_etcd_helper.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__object_in_response_at_after_create_resource_step_is_same_as_etcd_helper.smt2/traces/reseed.11603271854969608656

10122 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::object_in_response_at_after_create_resource_step_is_same_as_etcd_helper
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:300

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_bool                                                             11633    51    48    51    48
internal_core__option__Option_box_axiom_definition                                  7269    54    54    54    53
internal_crate__fun__2_apply_definition                                             6554     4     4     4     6
internal_core__option__Option_unbox_axiom_definition                                4987     4     3     4     4
prelude_mk_fun                                                                      4873    79    79    79    79
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...      4735     5     5     5     5
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      4528     3     3     3     3
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         4081    14    15    14    13
internal_crate__fun__2_constructor_definition                                       4078
- [root]                                                                            4078     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_crate__fun__2_unbox_axiom_definition                                       3977     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         3867    39    39    39    39
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      3745     3     3     3     3
internal_tuple__2./tuple__2/0_accessor_definition                                   3463    40    40    40    40
internal_core__result__Result_box_axiom_definition                                  3022     6     6     6     6
internal_core!result.Result./Ok/0_accessor_definition                               2940     3     3     3     3
internal_core!option.Option./Some_constructor_definition                            2902     9     9     9     9
internal_core!option.Option./Some/0_invariant_definition                            2775    10    11    10    10
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      2682     2     2     2     2
internal_crate__tuple__2_box_axiom_definition                                       2659    57    56    57    57
prelude_has_type_bool                                                               2646     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_19                          2590    13    13    13    14
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      2528     1     1     1     1
prelude_box_unbox_bool                                                              2472     7     7     7     8
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      2351     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      2347     4     4     4     4
internal_rabbitmq_controller__state_machine__action__Action_box_axiom_defin...      2343    33    33    33    33
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...      2211     0     0     0     0
internal_crate__fun__1_apply_definition                                             2161     7     7     7     7
internal_core!option.Option./Some/0_accessor_definition                             2091    15    16    15    15
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageCon...      1929     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  1899     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      1875     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action_constructo...      1842     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/preconditi...      1799    15    15    15    15
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...      1731     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              1701     3     3     3     3
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...      1660     0     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...      1660     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.common.ObjectRef./...      1649     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/preconditi...      1623     1     1     1     1
internal_rabbitmq_controller__state_machine__action__Action_unbox_axiom_def...      1616     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_un...      1610    12    12    12    12
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      1595     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1588     1     1     1     1
internal_rabbitmq_controller!state_machine.action.Action./Action/transition...      1549     1     1     1     2
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/1_i...      1540     5     5     5     5
internal_tuple__2./tuple__2/0_invariant_definition                                  1536     6     6     6     6
internal_core__result__Result_unbox_axiom_definition                                1488     0     0     0     0
internal_rabbitmq_controller!state_machine.action.Action./Action/transition...      1470    17    17    17    17
internal_tuple__2./tuple__2/1_accessor_definition                                   1444    25    25    25    26
internal_crate__tuple__2_unbox_axiom_definition                                     1411     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1342     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1298    15    15    15    15
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1245     2     2     2     2
internal_rabbitmq_controller__kubernetes_cluster__spec__message__Message_bo...      1235    23    21    23    23
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      1212     2     2     2     2
internal_rabbitmq_controller__state_machine__action__ActionResult_box_axiom...      1205    19    19    19    18
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1193     1     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...      1161     4     4     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1101     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      1085     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1085     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1085     0     0     0     0
internal_rabbitmq_controller!state_machine.action.ActionResult./Disabled_co...      1073     0     0     0     0
prelude_sub                                                                         1029     4     5     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1016     0     0     0     0
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                     1010     5     6     5     5
user_vstd__multiset__axiom_multiset_singleton_18                                    1010     0     0     0     0
internal_tuple__2./tuple__2/1_invariant_definition                                   994     8     8     8     9
internal_rabbitmq_controller__kubernetes_api_objects__error__APIError_box_a...       976     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       974     7     7     7     7
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       959     0     0     0     0
prelude_add                                                                          946     9     8     9     9
internal_rabbitmq_controller!state_machine.action.impl&__0.forward.?_defini...       934    11    11    11    11
internal_rabbitmq_controller!state_machine.action.impl&__0.forward.?_pre_po...       934     0     0     0     1
internal_rabbitmq_controller__kubernetes_api_objects__error__APIError_has_t...       930     0     0     0     0
mariposa_qid_199                                                                     918    11    11    11    11
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       897     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       856     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       853     4     4     4     4
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       843     7     7     7     7
internal_crate__fun__1_box_axiom_definition                                          832     5     5     5     5
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       831     4     4     4     4
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/0_i...       826     1     1     1     1
mariposa_qid_110                                                                     812     5     5     5     5
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       809     0     0     0     0
internal_vstd__set__Set<rabbitmq_controller!kubernetes_api_objects.spec.com...       795     1     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       794     8     8     8     8
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled_con...       781     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...       779     0     0     0     0
internal_vstd__set__Set<rabbitmq_controller!kubernetes_api_objects.spec.com...       776     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...       772     0     0     0     0
internal_vstd__set__Set<rabbitmq_controller!kubernetes_api_objects.spec.com...       772     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       770     1     1     1     1
internal_core!result.Result./Ok_constructor_definition                               764     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       756     7     7     7     7
user_vstd__multiset__axiom_multiset_sub_21                                           742     4     5     4     4
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 742     2     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__config_map__Con...       737     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...       712    10    10    10    10
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/0_a...       694    10    11    10     9
internal_rabbitmq_controller__kubernetes_api_objects__error__APIError_unbox...       674     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       638     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       638     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageCon...       628    19    20    19    19
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       608     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       608     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       606     0     0     0     0
prelude_fuel_defaults                                                                602   111   111   111   111
internal_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster_bo...       600    12    12    12    12
internal_rabbitmq_controller__kubernetes_cluster__spec__network__types__Net...       584     9     9     9     9
internal_vstd!multiset.impl&__0.contains.?_definition                                575     2     2     2     2
internal_crate__fun__1_constructor_definition                                        574
- [root]                                                                             574     0     0     0     0
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
