base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
--------------------------------------------------------------------------------  ------  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 17665   232   212   230
prelude_unbox_box_bool                                                              8699   111   108   119
internal_core__option__Option_unbox_axiom_definition                                8106     3     3     3
internal_core!option.Option./Some_constructor_definition                            5387     6     8     6
internal_core__result__Result_box_axiom_definition                                  5116    22    26    22
internal_core__result__Result_unbox_axiom_definition                                3906     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            3699    11    10     9
internal_crate__fun__2_apply_definition                                             3657     2     4     2
internal_core!result.Result./Ok/0_invariant_definition                              3228     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      2550     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      2550     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      2525     1     1     1
internal_vstd!string.impl&__0.view.?_pre_post_definition                            2451     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  2355     0     0     0
prelude_unbox_box_strslice                                                          2321     0     0     0
prelude_strlit_injective                                                            2319     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               2250    10    10    10
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      2246     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                   2243    51    51    51
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageCon...      2202     0     0     0
internal_crate__fun__2_constructor_definition                                       2178
- [root]                                                                            2178     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       2131    58    64    58
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...      2129     0     0     2
internal_tuple__2./tuple__2/0_invariant_definition                                  2104     6     5     7
prelude_mk_fun                                                                      2093    95    95    94
internal_crate__fun__2_unbox_axiom_definition                                       2056     0     0     0
internal_core!result.Result./Err_constructor_definition                             2039     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...      2019     3     3     3
internal_core!result.Result./Ok_constructor_definition                              1869     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...      1787     0     0     0
internal_vstd__multiset__Multiset<rabbitmq_controller!kubernetes_cluster.sp...      1787     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1784     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      1745     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1695    80    79    78
internal_crate__fun__2_box_axiom_definition                                         1655    34    34    34
internal_crate__tuple__2_unbox_axiom_definition                                     1653     3     3     0
internal_core!option.Option./Some/0_accessor_definition                             1627    24    23    22
