base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__spec.14.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__spec.14.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__spec.14.smt2/traces/shuffle.5586672954375738890

10137 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::spec::lemma_always_for_all_step_pending_req_in_flight_or_resp_in_flight_at_reconcile_state
controller_examples/rabbitmq_controller/proof/liveness/spec.rs:362

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 25311    68    68    68    68
internal_core__option__Option_unbox_axiom_definition                                7721     3     3     3     3
internal_core!result.Result./Ok/0_invariant_definition                              7205    22    22    22    22
internal_core__result__Result_unbox_axiom_definition                                6639     0     0     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                            5104     0     0     0     0
prelude_unbox_box_strslice                                                          5074     0     0     0     0
prelude_strlit_injective                                                            5072     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               5045    23    23    23    23
internal_core__result__Result_box_axiom_definition                                  4473   112   112   112   112
prelude_unbox_box_bool                                                              4233    58    58    58    58
internal_core!option.Option./Some_constructor_definition                            4134     0     0     0     0
internal_core!result.Result./Err_constructor_definition                             4075     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      3863     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  3069     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                   2615    21    21    21    21
internal_vstd!seq.Seq.add.?_pre_post_definition                                     2298     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            2298     1     1     1     1
internal_crate__tuple__2_box_axiom_definition                                       2280    32    32    32    32
internal_core!result.Result./Ok_constructor_definition                              2259     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  2219    20    20    20    20
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      2215     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      2215     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      2002     0     0     0     0
internal_vstd!seq.Seq.push.?_pre_post_definition                                    1883     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             1857     1     1     1     1
internal_crate__tuple__2_unbox_axiom_definition                                     1809    18    18    18    18
internal_rabbitmq_controller__kubernetes_api_objects__spec__marshal__Value_...      1789     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1696     0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...      1607     0     0     0     0
internal_vstd!map.impl&__0.insert.?_pre_post_definition                             1603     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      1595     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1548     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1457     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...      1389     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1338     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      1272     0     0     0     0
internal_core!option.Option./None_constructor_definition                            1218     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...      1203     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1155     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1133     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...      1133     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...      1130    36    36    36    36
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...      1068     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...      1068     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1039     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceSpe...      1039     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...      1008     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      1008     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                    940    22    22    22    22
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...       932     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       929     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       912     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       895     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       870     0     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       852    20    20    20    20
