base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__stateful_set_match__lemma_from_after_get_stateful_set_step_to_after_update_stateful_set_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__stateful_set_match__lemma_from_after_get_stateful_set_step_to_after_update_stateful_set_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__stateful_set_match__lemma_from_after_get_stateful_set_step_to_after_update_stateful_set_step.smt2/traces/shuffle.939544826489494031

10150 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::stateful_set_match::lemma_from_after_get_stateful_set_step_to_after_update_stateful_set_step
controller_examples/rabbitmq_controller/proof/liveness/stateful_set_match.rs:294

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 33993    69    74    72    71
internal_core__option__Option_unbox_axiom_definition                                8504     2     2     2     2
prelude_unbox_box_bool                                                              7014   102   109   108   104
internal_core!option.Option./Some/0_invariant_definition                            5741    10    10     9    10
internal_vstd!seq.Seq.push.?_pre_post_definition                                    5145     0     0     0     0
internal_core!option.Option./Some_constructor_definition                            4884     9     8     8     9
internal_vstd!string.impl&__0.view.?_pre_post_definition                            4827     0     0     0     0
prelude_unbox_box_strslice                                                          4815     0     0     0     0
prelude_strlit_injective                                                            4814     0     0     0     0
internal_core!option.Option./None_constructor_definition                            3026     2     3     3     3
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeV...      2912     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....      2814     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeV...      2814     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             2474    22    22    20    21
internal_core__result__Result_box_axiom_definition                                  2451    15    10     9    12
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      2434     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...      2391     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...      2391     0     0     0     0
prelude_mk_fun                                                                      2288   109   109   105   108
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...      2160     1     1     1     1
internal_crate__fun__2_apply_definition                                             2100     2     2     2     3
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1952    28    28    22    26
internal_core__result__Result_unbox_axiom_definition                                1903     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...      1811     0     0     0     0
internal_core!result.Result./Ok_constructor_definition                              1689     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...      1641     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__object_meta__Ob...      1628     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__dynamic__Dynami...      1579     8     8     7     8
internal_core!result.Result./Ok/0_invariant_definition                              1568     3     0     0     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....      1568     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__KeyToPa...      1568     0     0     0     0
