base name:
zookeeper-log-zookeeper_controller__proof__helper_invariants__proof.2.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof.2.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof.2.smt2/traces/reseed.1220102126068723003

10177 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::helper_invariants::proof::lemma_always_cr_objects_in_etcd_satisfy_state_validation
controller_examples/zookeeper_controller/proof/helper_invariants/proof.rs:46

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_bool                                                             17467    56    58    56    56
internal_core__result__Result_box_axiom_definition                                  8916     9     9     7     9
internal_core!result.Result./Ok/0_accessor_definition                               8412    11     9     7    10
internal_core__option__Option_box_axiom_definition                                  8403    36    35    32    35
internal_core__result__Result_unbox_axiom_definition                                7304     0     0     0     0
internal_core__option__Option_unbox_axiom_definition                                6047     0     0     0     0
internal_core!result.Result./Ok_constructor_definition                              5856     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              5479     2     6     9     6
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      4684    14    14    14    14
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      3862     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      3588     1     4     6     4
internal_core!option.Option./Some_constructor_definition                            3540     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      3389     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      3335     1     2     3     2
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      3267     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            2934     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      2603     1     5     7     5
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2581     0     0     0     0
mariposa_qid_80                                                                     2485     9     9     8    10
internal_tuple__2./tuple__2_constructor_definition                                  2477     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                   2464    30    29    31    29
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2461     9     5     7     8
internal_crate__tuple__2_box_axiom_definition                                       2367    32    32    32    32
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2215     2     3     4     3
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2215    10     6     8    10
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      2058     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2032     2     2     2     2
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...      2002     4     4     4     3
mariposa_qid_173                                                                    1885
- [root]                                                                             100     3     3     3     3
- user_zookeeper_controller__zookeeper_controller__proof__helper_invariants__...    1785     4     4     4     4
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1882     0     0     0     0
mariposa_qid_167                                                                    1872     8     7    10     7
