base name:
zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated.smt2/traces/shuffle.140149928998980730

10120 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::helper_invariants::proof::lemma_eventually_always_cm_rv_is_the_same_as_etcd_server_cm_if_cm_updated
controller_examples/zookeeper_controller/proof/helper_invariants/proof.rs:118

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 40478    84    59    56    50
prelude_unbox_box_bool                                                             10960   103   106   101   104
internal_core__option__Option_unbox_axiom_definition                               10071     3     3     4     4
internal_core!option.Option./Some/0_invariant_definition                            6429     4     4     4     4
internal_core!option.Option./Some_constructor_definition                            6401     6     5     5     5
internal_core__result__Result_box_axiom_definition                                  5817    70    49    49    49
internal_core__result__Result_unbox_axiom_definition                                5550     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              4888    12    10    11    12
internal_core!result.Result./Ok/0_accessor_definition                               4757    25    15    15    15
internal_core!option.Option./Some/0_accessor_definition                             3979     7     6     6     6
internal_core!result.Result./Ok_constructor_definition                              3816     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      3244     2     2     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      3169    18    15    14    15
prelude_unbox_box_strslice                                                          2790     0     0     0     0
prelude_strlit_injective                                                            2790     0     0     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                            2790     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...      2692     9     1     2     1
internal_tuple__2./tuple__2_constructor_definition                                  2662     0     0     0     0
prelude_mk_fun                                                                      2623   104   108   108   108
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2607     0     0     0     0
internal_zookeeper_controller__reconciler__spec__io__RequestView_box_axiom_...      2490     1     1     4     1
internal_core!option.Option./None_constructor_definition                            2479     3     3     3     3
internal_core!result.Result./Err_constructor_definition                             2385     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      2384     4     4     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      2344     0     0     0     0
prelude_has_type_bool                                                               2209     0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       2196    67    63    65    63
internal_crate__fun__1_apply_definition                                             2043     7     6     7     6
prelude_box_unbox_bool                                                              2041     8     7     8     7
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1963     1     1     1     1
internal_tuple__2./tuple__2/0_invariant_definition                                  1959    14    12    13    14
internal_vstd!seq.Seq.push.?_pre_post_definition                                    1919     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1896     0     0     0     0
internal_tuple__2./tuple__2/0_accessor_definition                                   1886    52    47    46    47
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1858     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....      1784     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...      1690     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1642     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1629     0     0     0     0
prelude_unbox_box_int                                                               1626     2     2     2     2
internal_crate__fun__2_apply_definition                                             1594     3     1     2     1
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...      1565     0     0     1     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1532     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         1525    32    32    32    32
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1522     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1508     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1493     5     1     1     0
internal_crate__fun__2_constructor_definition                                       1471
- [root]                                                                            1471     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1434     6     5     4     5
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Con...      1430     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1375     4     4     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1353     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1336     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1318     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1301    11     9     8     9
internal_crate__tuple__2_unbox_axiom_definition                                     1284     6     4     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1270     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1250     4     4     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      1230     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...      1225    34    31    31    31
internal_crate__fun__2_unbox_axiom_definition                                       1216     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1208     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1202     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...      1193     8     7     7     7
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1190     1     1     1     1
