base name:
zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__helper_invariants__proof__lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals.smt2/traces/shuffle.7733625717432307390

10111 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::helper_invariants::proof::lemma_resource_create_or_update_request_msg_implies_key_in_reconcile_equals
controller_examples/zookeeper_controller/proof/helper_invariants/proof.rs:1115

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 21559    81    77    77    75
prelude_unbox_box_bool                                                             10230    64    69    68    68
internal_core__result__Result_unbox_axiom_definition                                7973     0     0     0     0
internal_core__option__Option_unbox_axiom_definition                                7865     3     4     4     9
internal_core!result.Result./Ok/0_invariant_definition                              7586     2    13    13    17
internal_crate__fun__2_apply_definition                                             6621     4     4     4     4
internal_core!option.Option./Some_constructor_definition                            5154     5     5     5     5
internal_tuple__2./tuple__2/0_invariant_definition                                  4932     3     5     5     4
internal_tuple__2./tuple__2_constructor_definition                                  4219     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               4005    25    25    25    25
internal_crate__tuple__2_box_axiom_definition                                       3961    64    62    62    65
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      3787     2     2     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...      3733    27    26    26    26
internal_core__result__Result_box_axiom_definition                                  3570    59    59    59    59
internal_crate__tuple__2_unbox_axiom_definition                                     3352     2     6     6    12
internal_core!result.Result./Err_constructor_definition                             3341     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                   3302    32    33    33    34
internal_core!option.Option./Some/0_invariant_definition                            3199     8     8     8     8
internal_tuple__2./tuple__2/0_accessor_definition                                   3112    31    38    38    35
internal_crate__fun__2_unbox_axiom_definition                                       3022     0     0     0     0
internal_zookeeper_controller__reconciler__spec__io__RequestView_box_axiom_...      2948    26    25    25    26
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      2787     2     5     5     4
internal_crate__fun__2_box_axiom_definition                                         2748    39    39    39    39
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...      2735     6    16    16    14
internal_crate__fun__2_constructor_definition                                       2688
- [root]                                                                            2688     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_core!result.Result./Ok_constructor_definition                              2687     0     0     0     0
prelude_mk_fun                                                                      2666    67    67    66    67
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2654     0     0     0     0
prelude_box_unbox_bool                                                              2615     4     4     4     4
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...      2577     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      2552     0     0     0     0
prelude_has_type_bool                                                               2542     0     0     0     0
internal_tuple__2./tuple__2/1_invariant_definition                                  2440     8     9     9    14
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      2379     0     0     0     0
internal_core!option.Option./Some/0_accessor_definition                             2334    18    19    19    18
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      2329     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      2329     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...      2309     0     0     0     0
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...      2207    34    34    34    34
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      2110    20    20    20    20
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...      2058     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2050     4     4     4     4
internal_crate__fun__1_apply_definition                                             1885     4     4     4     4
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...      1793     1     1     1     1
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         1670    15    15    15    13
internal_zookeeper_controller!state_machine.action.Action./Action_construct...      1556     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...      1536     0     2     2     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1523     0     0     0     0
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...      1504    19    19    19    19
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...      1500    17    17    17    17
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      1445    22    20    19    22
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1443     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...      1434     4     5     5     4
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...      1387     3     3     3     3
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1361     0     0     0     0
internal_zookeeper_controller__state_machine__action__Action_unbox_axiom_de...      1316     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1268     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...      1243     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1167     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_19                          1141    11    14    14    12
internal_zookeeper_controller!state_machine.action.ActionResult./Disabled_c...      1133     0     0     0     0
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                     1050     7     5     5     7
user_vstd__multiset__axiom_multiset_singleton_18                                    1050     0     0     0     0
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...      1018    17    17    17    17
prelude_unbox_box_int                                                                991    18    14    19    23
mariposa_qid_112                                                                     971     7     7     7     7
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       945     2     2     2     2
