base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.2.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.2.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.2.smt2/traces/shuffle.18166945944228020167

10131 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:524

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 19042   172    99    93    98
prelude_unbox_box_bool                                                              9893   116   114   115   111
internal_core__option__Option_unbox_axiom_definition                                7192     3     4     3     3
internal_core__result__Result_box_axiom_definition                                  4799    20    19    13    18
internal_crate__fun__2_apply_definition                                             4714     3     2     2     2
internal_core!option.Option./Some/0_invariant_definition                            4513     9    10    10    12
internal_core__result__Result_unbox_axiom_definition                                3657     0     0     0     0
internal_core!option.Option./Some_constructor_definition                            3620     8     6     9     7
prelude_mk_fun                                                                      3087    97    99    97    96
internal_core!result.Result./Ok/0_invariant_definition                              3031     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               2944     5     5     5     6
internal_tuple__2./tuple__2/0_accessor_definition                                   2872    49    51    48    51
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      2723     3     3     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2624     1    11     1     1
internal_crate__tuple__2_box_axiom_definition                                       2613    58    60    58    56
internal_core!option.Option./Some/0_accessor_definition                             2579    26    25    25    28
internal_crate__fun__2_unbox_axiom_definition                                       2485     0     0     0     0
internal_crate__fun__2_constructor_definition                                       2387
- [root]                                                                            2387     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  2294     5     7     5     6
internal_tuple__2./tuple__2_constructor_definition                                  2263     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      2220     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2181     2     2     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...      2157     0     0     0     0
prelude_has_type_bool                                                               2143     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....      2088     0     0     0     0
internal_core!result.Result./Ok_constructor_definition                              2085     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         2060    34    34    34    34
prelude_box_unbox_bool                                                              2053     4     2     2     2
internal_crate__fun__1_apply_definition                                             1956     3     2     2     2
internal_crate__tuple__2_unbox_axiom_definition                                     1883     3     3     3     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1785     2     2     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1711    36    32    33    35
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1697     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1697     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      1690     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...      1653     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1619     1     1     1     1
