base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2/traces/shuffle.12322797778560412979

10069 unsat

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_resource_state_matches_at_after_create_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:599

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 15078   126   129   124   125
prelude_unbox_box_bool                                                             13968   126   113   126   119
internal_vstd!seq.Seq.add.?_pre_post_definition                                     7921     0     0     0     0
internal_core__result__Result_box_axiom_definition                                  6910    28    30    32    29
internal_core__option__Option_unbox_axiom_definition                                6857     3     3     5     5
internal_vstd!string.impl&__0.view.?_pre_post_definition                            6193     0     0     0     0
prelude_unbox_box_strslice                                                          6066     0     0     0     0
prelude_strlit_injective                                                            6065     0     0     0     0
internal_crate__fun__2_apply_definition                                             6015     3     3     3     3
internal_core!result.Result./Ok/0_accessor_definition                               4529    18    16    20    21
internal_core__result__Result_unbox_axiom_definition                                4454     0     0     2     0
internal_core!option.Option./Some/0_invariant_definition                            4338     6     9     9     8
internal_core!result.Result./Ok_constructor_definition                              4156     0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       3945    54    49    51    51
internal_tuple__2./tuple__2/0_accessor_definition                                   3860    42    37    46    46
internal_core!option.Option./Some_constructor_definition                            3844     8     8     9     8
internal_core!option.Option./Some/0_accessor_definition                             3652    27    25    28    26
prelude_has_type_bool                                                               3389     2     2     2     2
internal_core!result.Result./Ok/0_invariant_definition                              3235     2     1     3     5
prelude_unbox_box_int                                                               3233     2     2     2     2
internal_tuple__2./tuple__2_constructor_definition                                  3033     1     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      3007     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      3003     7     8     8     7
prelude_box_unbox_bool                                                              2852     5     8     8     9
prelude_mk_fun                                                                      2778    96    92    96    93
internal_zookeeper_controller!vstd_ext.string_view.int_to_string_view.?_pre...      2735     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....      2715     0     0     0     0
internal_crate__fun__1_apply_definition                                             2603     4     7     7     8
internal_tuple__2./tuple__2/0_invariant_definition                                  2481     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      2457     4     4     4     4
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      2373     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      2373     0     0     0     0
internal_crate__tuple__2_unbox_axiom_definition                                     2370     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2106     2     3     4     2
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                         2005    10    11    10    11
internal_crate__fun__2_constructor_definition                                       1964
- [root]                                                                            1964     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...      1961    12    12    12    12
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1898     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...      1858     5     3     4     3
internal_tuple__2./tuple__2/1_accessor_definition                                   1838    18    17    20    19
internal_crate__fun__2_unbox_axiom_definition                                       1800     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      1787     5     4     4     5
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...      1772     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...      1767     4     4     5     6
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1733     1     1     3     3
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...      1725     0     0     0     0
