base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2/traces/reseed.11509608877003423912

10137 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_update_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:863

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
prelude_unbox_box_bool                                                             12426   105   101   113   105
internal_core__option__Option_box_axiom_definition                                  8970   140   116   140   140
internal_core__result__Result_box_axiom_definition                                  5989    28    24    30    30
internal_core__option__Option_unbox_axiom_definition                                4843     4     4     5     4
internal_core__result__Result_unbox_axiom_definition                                4533     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            4262    10    10    13    10
internal_core!option.Option./Some_constructor_definition                            3881     6     8     6     6
internal_core!result.Result./Ok_constructor_definition                              3812     0     0     0     0
internal_core!result.Result./Ok/0_accessor_definition                               3413    10    10    11    11
internal_core!result.Result./Ok/0_invariant_definition                              3339     2     2     2     3
internal_core!option.Option./Some/0_accessor_definition                             2906    23    23    27    23
internal_crate__fun__2_apply_definition                                             2637     2     2     2     1
prelude_mk_fun                                                                      2301   102   101   101   100
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      2177     1     1     1     1
internal_tuple__2./tuple__2_constructor_definition                                  2164     0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       2127    51    53    51    46
prelude_has_type_bool                                                               2126     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2106     2     2     2     2
internal_tuple__2./tuple__2/0_accessor_definition                                   2098    43    41    48    43
prelude_box_unbox_bool                                                              1922     2     3     3     2
internal_crate__fun__1_apply_definition                                             1855     2     2     2     1
prelude_unbox_box_int                                                               1836    10    10    10    10
internal_tuple__2./tuple__2/0_invariant_definition                                  1762     5     5     5     5
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...      1656     0     1     1     0
internal_vstd!seq.Seq.add.?_pre_post_definition                                     1653     0     0     0     0
internal_crate__tuple__2_unbox_axiom_definition                                     1652     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1581     0     1     0     1
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...      1528     0     0     0     0
internal_crate__fun__2_constructor_definition                                       1524
- [root]                                                                            1524     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...      1513     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1494    49    40    51    51
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1476     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....      1456     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      1440     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...      1436     0     0     0     0
internal_crate__fun__1_box_axiom_definition                                         1426    40    40    40    40
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...      1401     7     4     8     7
internal_crate__fun__2_unbox_axiom_definition                                       1396     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...      1376     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1344     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1325     0     1     1     1
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1294     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...      1209     4     6     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1182     5     5     6     5
internal_core!result.Result./Err_constructor_definition                             1161     0     0     0     0
prelude_box_unbox_int                                                               1160     0     0     0     0
prelude_has_type_int                                                                1155     3     8     8     3
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...      1120     0     1     1     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1110     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                         1075    34    33    33    33
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1052     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1052     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1046     1     2     1     2
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...      1045     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      1043     5     4     5     5
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...      1033     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       995     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       987     0     0     0     0
