base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.7.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.7.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.7.smt2/traces/rename.12500295248286012155

10201 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_resource_state_matches_at_after_update_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:768

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 20350   173   163   164   167
prelude_unbox_box_bool                                                             13347   142   139   134   134
internal_vstd!seq.Seq.add.?_pre_post_definition                                    11621     0     0     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                            9097     0     0     0     0
internal_core__option__Option_unbox_axiom_definition                                9032     3     2     4     3
prelude_unbox_box_strslice                                                          8911     0     0     0     0
prelude_strlit_injective                                                            8910     0     0     0     0
internal_core__result__Result_box_axiom_definition                                  6236    40    37    34    39
prelude_unbox_box_int                                                               5056     1     1     1     1
internal_core!result.Result./Ok/0_accessor_definition                               4925    16    19    18    18
internal_core!option.Option./Some_constructor_definition                            4564     7     6     5     7
internal_core__result__Result_unbox_axiom_definition                                4126     0     0     0     0
internal_zookeeper_controller!vstd_ext.string_view.int_to_string_view.?_pre...      3975     0     0     0     0
internal_core!option.Option./Some/0_invariant_definition                            3791    14    13    11     9
internal_core!result.Result./Ok_constructor_definition                              3733     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      3254    10    10    10    10
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      3248     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....      3141     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                              3137    10     8    10    10
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      3014     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...      2707     4     4     4     4
internal_core!option.Option./Some/0_accessor_definition                             2695    26    25    29    24
prelude_mk_fun                                                                      2631   111   110   109   108
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...      2549    13    12    12    14
internal_tuple__2./tuple__2/0_accessor_definition                                   2364    41    44    39    42
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2263     0     0     0     0
prelude_has_type_bool                                                               2260     2     1     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      2223    67    67    61    68
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      2175     1     0     2     1
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...      2163     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      2102    10    14    10    11
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...      1971     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...      1967     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  1881     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1879     0     0     0     0
prelude_box_unbox_bool                                                              1855    11    10     8    10
internal_crate__fun__2_apply_definition                                             1852     3     3     3     4
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1840     2     1     3     2
internal_crate__fun__1_box_axiom_definition                                         1770    51    51    51    51
internal_crate__tuple__2_box_axiom_definition                                       1729    50    49    47    46
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1696    15    13    15    11
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1690     6     6     6     6
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      1623    26    26    25    24
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...      1609     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...      1567     7     8     5     6
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1529     0     0     0     0
internal_crate__tuple__2_unbox_axiom_definition                                     1462     0     0     0     0
internal_crate__fun__1_apply_definition                                             1414     9     8     6     8
internal_tuple__2./tuple__2/0_invariant_definition                                  1412     6     5     6     6
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1364    13    12    14    13
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1355     6     5     4     2
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1340     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1323     0     0     0     0
internal_vstd!map.impl&__0.index.?_pre_post_definition                              1272    14    17    14    13
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1265     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...      1254     0     0     0     0
internal_vstd!map.impl&__0.insert.?_pre_post_definition                             1253     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1251    11    11    12    12
internal_zookeeper_controller__temporal_logic__defs__TempPred_unbox_axiom_d...      1239     2     2     2     2
internal_zookeeper_controller!temporal_logic.defs.TempPred./TempPred_constr...      1239     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1232     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...      1229     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1200    11     9     8     7
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1185    11     9    12    11
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1181     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...      1181     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1158    10    10    10    10
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...      1134     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...      1134     0     0     0     0
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                1108     3     3     3     3
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...      1102     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1084     6     5     5     6
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...      1080     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...      1080     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...      1079     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.se...      1079     0     0     0     0
internal_vstd!seq.Seq.len.?_pre_post_definition                                     1076     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...      1071     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1066     5     4     3     1
internal_vstd!seq.Seq.push.?_pre_post_definition                                    1065     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...      1060    13    14    13    14
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....      1005     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....      1005     0     0     0     0
internal_core!option.Option./None_constructor_definition                             991     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       991     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....       965     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.impl&__3....       965     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_u...       961     4     5     1     2
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       945     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       940     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       934     0     0     0     0
internal_crate__fun__2_constructor_definition                                        920
- [root]                                                                             920     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                          900    34    34    33    33
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       899     2     3     4     3
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       895     7     5     6     3
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServicePo...       891     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       867     9     9     9     9
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              854     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       849     0     0     0     0
internal_crate__fun__2_unbox_axiom_definition                                        823     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       806     1     1     1     1
