base name:
zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.1.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.1.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.1.smt2/traces/reseed.12766411988861412929

4765 unsat

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::stateful_set_match::lemma_from_key_exists_to_receives_ok_resp_at_after_get_stateful_set_step
controller_examples/zookeeper_controller/proof/liveness/stateful_set_match.rs:194

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 12069    46    47    46    44
prelude_unbox_box_bool                                                              4496    97   102    97    97
internal_core__option__Option_unbox_axiom_definition                                4190     2     2     2     2
internal_core__result__Result_box_axiom_definition                                  2205     6     6     6     6
internal_core!option.Option./Some/0_invariant_definition                            1914     6     6     6     5
internal_core!option.Option./Some_constructor_definition                            1679     6     6     6     6
internal_vstd!string.impl&__0.view.?_pre_post_definition                            1463     0     0     0     0
internal_core__result__Result_unbox_axiom_definition                                1462     0     0     0     0
prelude_unbox_box_strslice                                                          1447     0     0     0     0
prelude_strlit_injective                                                            1446     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1237     1     1     1     1
prelude_mk_fun                                                                      1215    91    91    91    92
internal_core!result.Result./Ok/0_accessor_definition                               1194     4     4     4     4
internal_vstd!seq.Seq.add.?_pre_post_definition                                     1170     0     0     0     0
internal_core!option.Option./None_constructor_definition                            1146     3     3     3     3
internal_core!result.Result./Ok_constructor_definition                              1019     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1006    20    19    20    20
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       989     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...       947     2     2     2     2
internal_tuple__2./tuple__2/0_accessor_definition                                    918    41    40    41    39
internal_tuple__2./tuple__2_constructor_definition                                   890     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       873     0     0     0     0
prelude_has_type_bool                                                                866     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...       865     0     0     0     0
internal_core!result.Result./Ok/0_invariant_definition                               861     0     0     0     0
prelude_unbox_box_int                                                                854     1     1     1     1
internal_crate__tuple__2_box_axiom_definition                                        832    52    48    52    49
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       820     2     2     2     2
internal_crate__fun__2_apply_definition                                              819     3     3     3     3
internal_core!option.Option./Some/0_accessor_definition                              806    12    11    12     9
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....       796     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...       769     8     8     8     8
internal_crate__fun__1_apply_definition                                              742     3     3     3     3
prelude_box_unbox_bool                                                               717     3     3     3     3
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...       672     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       665     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       657     0     0     0     0
internal_crate__fun__1_box_axiom_definition                                          657    27    27    27    27
internal_tuple__2./tuple__2/0_invariant_definition                                   656     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       647     1     0     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...       628     6     6     6     6
internal_crate__tuple__2_unbox_axiom_definition                                      601     0     0     0     0
internal_crate__fun__2_constructor_definition                                        599
- [root]                                                                             599     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
prelude_fuel_defaults                                                                592   105   106   105   107
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...       587     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       587     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       578     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       576    12    11    12    12
internal_vstd!seq.Seq.push.?_pre_post_definition                                     573     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       570     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       558     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       556     1     1     1     1
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       551     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       551     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                          543    34    34    34    35
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       527     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       514     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...       507     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       504     0     0     0     0
internal_vstd!map.impl&__0.index.?_pre_post_definition                               500    11    11    11    10
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       493     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       489     2     2     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       480     8     8     8     7
user_vstd__map__axiom_map_insert_different_7                                         478     6     6     6     6
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...       473     0     0     0     0
internal_crate__fun__2_unbox_axiom_definition                                        472     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...       470     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       460     5     4     5     5
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       458     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       454     0     0     0     0
user_vstd__set__axiom_set_insert_different_69                                        450     5     5     5     5
internal_zookeeper_controller!vstd_ext.string_view.int_to_string_view.?_pre...       447     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       441     9     9     9     9
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       439     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_u...       431     4     4     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       429     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.Contain...       429     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Con...       429     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Con...       429     0     0     0     0
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              418     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       415     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                    411    20    16    20    20
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       408     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       399     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       399     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       399     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       399     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       395     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       390     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          381    17    17    17    17
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       381     0     0     0     0
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       380    27    27    27    27
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       365     4     4     4     4
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                          363    13    13    13    13
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       361     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       356     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       352     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       351     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       351     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       351     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       351     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       351     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       348     1     1     1     1
internal_zookeeper_controller__temporal_logic__defs__TempPred_unbox_axiom_d...       346     1     1     1     1
internal_zookeeper_controller!temporal_logic.defs.TempPred./TempPred_constr...       346     0     0     0     0
