base name:
zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.2.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.2.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.2.smt2/traces/shuffle.9863013143303878859

10144 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::stateful_set_match::lemma_from_after_get_stateful_set_step_to_after_update_stateful_set_step
controller_examples/zookeeper_controller/proof/liveness/stateful_set_match.rs:290

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 16606    97   184   105    97
prelude_unbox_box_bool                                                             10643   114   110   109   111
internal_core__option__Option_unbox_axiom_definition                                6658     3     2     2     2
internal_core!option.Option./Some/0_invariant_definition                            5708     9     9     9     9
internal_core!option.Option./Some_constructor_definition                            4153     6     6     6     7
internal_core__result__Result_box_axiom_definition                                  3960     8    10     7     7
internal_core!option.Option./Some/0_accessor_definition                             3580    21    24    22    25
internal_core!result.Result./Ok_constructor_definition                              3337     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...      3282     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      3282     0     0     0     0
internal_core__result__Result_unbox_axiom_definition                                3021     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2642     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2608     0     0     0     0
prelude_has_type_bool                                                               2601     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2594     0     0     0     0
internal_crate__fun__1_apply_definition                                             2569     3     2     2     2
internal_core!result.Result./Ok/0_accessor_definition                               2515     3     5     4     3
prelude_mk_fun                                                                      2514   111   113   112   112
internal_core!result.Result./Ok/0_invariant_definition                              2365     1     3     2     1
prelude_box_unbox_bool                                                              2172     3     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      2073     1     1     1     1
internal_crate__fun__1_box_axiom_definition                                         2015    48    48    48    48
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2002     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2002     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2002     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2002     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1841    38    45    41    38
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      1840     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...      1801     1     1     1     1
prelude_unbox_box_int                                                               1788     0    10     0     0
internal_vstd!string.impl&__0.view.?_pre_post_definition                            1679     0     2     0     0
prelude_unbox_box_strslice                                                          1639     0     2     0     0
prelude_strlit_injective                                                            1637     0     0     0     0
internal_crate__fun__2_apply_definition                                             1614     3     2     2     2
internal_tuple__2./tuple__2/0_accessor_definition                                   1604    41    38    40    40
internal_vstd!seq.Seq.add.?_pre_post_definition                                     1598     0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       1578    47    49    47    47
internal_tuple__2./tuple__2_constructor_definition                                  1567     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...      1347     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      1345     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.common.ObjectRef....      1337     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__object_meta__O...      1292     0     0     0     0
internal_tuple__2./tuple__2/0_invariant_definition                                  1207     5     5     5     5
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      1200     9    10    11    14
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...      1187     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...      1186     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...      1163     0     0     0     0
internal_core!option.Option./None_constructor_definition                            1145     2     2     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...      1062     9    11     9     8
internal_crate__tuple__2_unbox_axiom_definition                                     1060     2     0     0     0
internal_crate__fun__2_constructor_definition                                       1057
- [root]                                                                            1057     0     0     0     0
- internal_crate__fun__2_constructor_inner_definition                                  0     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      1033     1     3     1     1
prelude_has_type_int                                                                 973     3     3     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       970     1     2     2     1
internal_crate__fun__2_unbox_axiom_definition                                        955     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       946    10    14    11    10
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       942     0     0     0     0
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       931     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       927     1     1     1     1
prelude_box_unbox_int                                                                919     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       912     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       910     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       905     2     2     2     2
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          890    31    31    31    31
internal_crate__fun__1_constructor_definition                                        878
- [root]                                                                             878     0     0     0     0
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       877     0     0     0     0
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       874    48    48    48    48
internal_crate__fun__1_unbox_axiom_definition                                        873     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       858     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       857     8    11     9     8
internal_tuple__2./tuple__2/1_accessor_definition                                    856    16    18    15    16
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       855     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       848     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.TempPred./TempPred_constr...       842     0     0     0     0
internal_zookeeper_controller__temporal_logic__defs__TempPred_unbox_axiom_d...       842     1     1     1     1
mariposa_qid_267                                                                     839     9     9     8     8
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       833     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       828     3     4     4     3
mariposa_qid_225                                                                     820
- [root]                                                                              35     1     1     1     1
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__each...     785     2     2     2     3
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       810     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       809     2     2     1     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       807    10    14    11    10
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       804     0    26     1     0
prelude_fuel_defaults                                                                792   131   148   133   131
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       789     0     0     0     0
internal_vstd__multiset__Multiset<zookeeper_controller!kubernetes_cluster.s...       789     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       779     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       776     9     9     9     9
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       770     4     4     5     4
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       769     0     0     0     0
internal_crate__fun__2_box_axiom_definition                                          762    34    34    34    34
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       761    13    12    15    14
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       756     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       749    13    14    13    13
internal_zookeeper_controller__kubernetes_api_objects__spec__pod_template_s...       747     0     8     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       726     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       710     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       679     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_u...       678     4     4     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       678     6     6     6     6
internal_zookeeper_controller__kubernetes_api_objects__spec__config_map__Co...       665     0     0     0     0
internal_vstd!seq.Seq.len.?_pre_post_definition                                      656     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       640     4     7     4     4
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       640     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       633     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       630     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...       597     5     5     5     6
internal_vstd!seq.Seq.push.?_pre_post_definition                                     595     2     5     3     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       582     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       569     9    10     9     9
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              566     2     2     2     2
internal_zookeeper_controller!vstd_ext.string_view.int_to_string_view.?_pre...       564     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       556     1     3     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       552     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.and.?_pre_post_d...       546     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.and.?_definition          546    14    14    14    14
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       545     7    11     7     7
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       538     0     0     0     0
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...       508    21    19    19    20
user_vstd__set__axiom_set_insert_different_69                                        502     6     6     6     6
