base name:
zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2/traces/reseed.4879072961540107419

10214 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::stateful_set_match::lemma_stateful_set_state_matches_at_after_update_stateful_set_step
controller_examples/zookeeper_controller/proof/liveness/stateful_set_match.rs:387

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
--------------------------------------------------------------------------------  ------  ----  ----  ----  ----
internal_core__option__Option_box_axiom_definition                                 14562   146   159   146   146
prelude_unbox_box_bool                                                             13390   125   124   125   128
internal_core__option__Option_unbox_axiom_definition                                6588     5     4     5     4
internal_core__result__Result_box_axiom_definition                                  4771    17    14    17    13
internal_core!option.Option./Some/0_invariant_definition                            4067     9     6     9    10
internal_core!option.Option./Some_constructor_definition                            3878     6     5     6     6
internal_core!result.Result./Ok_constructor_definition                              3668     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...      3488     1     1     1     1
internal_core!result.Result./Ok/0_accessor_definition                               3363    11     9    11     9
internal_core!option.Option./Some/0_accessor_definition                             3168    19    24    19    22
internal_core__result__Result_unbox_axiom_definition                                3000     0     0     0     0
prelude_mk_fun                                                                      2792   112   112   112   111
internal_tuple__2./tuple__2/0_accessor_definition                                   2730    41    39    41    43
internal_crate__fun__2_apply_definition                                             2726     1     1     1     2
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...      2628     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2628     0     0     0     0
internal_crate__tuple__2_box_axiom_definition                                       2472    50    52    50    51
internal_zookeeper_controller__kubernetes_api_objects__spec__marshal__Value...      2325    10    10    10    10
internal_core!result.Result./Ok/0_invariant_definition                              2155     6     5     6     5
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2110     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...      2098     0     0     0     0
internal_tuple__2./tuple__2_constructor_definition                                  2091     0     0     0     0
